NEAQ ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,Sig Features,whaleimage,tailimage,lefthead,righthead
3110,,Y,2,N,N,,B 1 pen on coam,B dbl pen on coam,,3110.jpg,3110_T.jpg,3110-left.jpg,3110-right.jpg
3115,Harmony,Y,2,N,N,,B long pen coam,B long pen coam,,3115-Harmony.jpg,3115-Harmony_T.jpg,3115-Harmony-left.jpg,3115-Harmony-right.jpg
3115,Harmony,Y,3,N,N,,B long pen coam,B long pen coam,,3115-Harmony.jpg,3115-Harmony_T.jpg,3115-Harmony-left.jpg,3115-Harmony-right.jpg
3125,,N,2,Y,Y,C any 4 asym,C 1 pen,C 1 or 2 pen,,3125.jpg,3125_T.jpg,3125-left.jpg,3125-right.jpg
3140,Lou,N,1,Y,Y,C any 4 asym,C 2 pen,C 3 pen or C isl,,3140-Lou.jpg,3140-Lou_T.jpg,left-nohead.jpg,3140-Lou-right.jpg
3157,,N,2,Y,Y,,C 1 pen,C 2 pen,2022 mom,3157.jpg,3157_T.jpg,3157-left.jpg,3157-right.jpg
3191,,N,2,Y,Y,,C 1 or 2 pen or C isl,C 1 or 2 pen,,3191.jpg,3191_T.jpg,3191-left.jpg,3191-right.jpg
3193,Toothbrush,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,,3193-Toothbrush.jpg,3193-Toothbrush_T.jpg,3193-Toothbrush-left.jpg,3193-Toothbrush-right.jpg
3194,,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,,3194.jpg,3194_T.jpg,3194-left.jpg,right-nohead.jpg
3229,,N,2,Y,Y,,C 2 pen,C 1 pen,bh - scar,3229_left.jpg,3229_T.jpg,3229-left.jpg,right-nohead.jpg
3229,,N,2,Y,Y,,C 2 pen,C 1 pen,bh - scar,3229_right.jpg,3229_T.jpg,3229-left.jpg,right-nohead.jpg
3230,Infinity,N,2,Y,Y,,C dbl or C isl,C 1 pen or C isl,,3230-Infinity.jpg,3230-Infinity_T.jpg,3230-Infinity-left.jpg,3230-Infinity-right.jpg
3232,Lobster,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,2021 mom,3232-Lobster.jpg,3232-Lobster_T.jpg,3232-Lobster-left.jpg,3232-Lobster-right.jpg
3245,Zion,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,,3245-Zion.jpg,3245-Zion_T.jpg,3245-Zion-left.jpg,3245-Zion-right.jpg
