ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,whaleimage,tailimage
4620,,N,2,N,Y,C 2 pen L for,C 1 pen,C 1 pen,4620.jpg,no_tail.jpg
4620,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,4620.jpg,no_tail.jpg
4633,,Y,2,Y,Y,,B long pen coam,B long pen coam,4633.jpg,4633_T.jpg
4650,Sebastian,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,4650-Sebastian.jpg,no_tail.jpg
,,Y,2,,,B 1 sym isl,B 1 isl,B 1 isl,_2019CalfOf3317.jpg,no_tail.jpg
,,N,2,,,C 2 pen L for,C 2 pen,C 1 pen,_2019CalfOf2791.jpg,no_tail.jpg
,,N,2,,,C 2 pen R for,C 1 pen,C 1 pen,_2019CalfOf4180.jpg,no_tail.jpg
,,N,2,,,C 2 pen R for,C 1 pen,C 2 pen,_G055.jpg,_G055_T.jpg
,,N,2,N,N,C any 4 asym,C 2 pen,C 2 pen,_G056.jpg,_G056_T.jpg
,,Y,,,,B 1 sym isl,,,_2019CalfOf2503.jpg,no_tail.jpg
,,,,,,,,,_2020CalfOf3546.jpg,no_tail.jpg
,,,,,,,,,_2020CalfOfHarmonia.jpg,no_tail.jpg
